,ai_positionx,ai_positiony,ai_positionz,combatheadshot,combatlegshot,combattakedown,combattargettype,combattypeofkill,combatweaponused,enemyarch,isltl,killdist,playermovetype,playerpositionx,playerpositiony,playerpositionz,playervehicletype,takedownstate
4032,-1528.5132,-233.38106,162.48126,0,0,0.0,3,0,1149869,0x6BF561D1,1,20.539005,4,-1529.7367,-222.00465,156.70656,Not in Vehicle,0.0
7733,640.92615,-492.0769,112.08609,0,0,0.0,3,0,628841,0x6BF561D1,1,6.603202,1,635.66345,-488.9865,109.56502,Not in Vehicle,0.0
215,-312.15997,435.88715,121.59875,0,0,0.0,3,0,1087636,0x6BF561D1,1,6.636456,1,-306.0316,436.83417,118.970764,Not in Vehicle,0.0
3727,-1880.3035,-1700.9277,103.020615,0,0,0.0,4,0,628841,0xDFFE7978,1,6.457685,1,-1874.4661,-1702.8276,101.01642,Not in Vehicle,0.0
8486,493.5204,1714.1123,126.27203,1,0,0.0,3,0,628838,0x6BF561D1,1,7.267835,16,497.89227,1708.9617,123.591965,Not in Vehicle,0.0
718,-258.97495,422.37234,125.489845,1,0,0.0,3,0,1046713,0x6BF561D1,1,2.792275,3,-261.63586,424.37198,125.04681,Not in Vehicle,0.0
2646,846.08405,-532.7779,114.52818,1,0,0.0,3,0,628841,0xFC6A70F8,1,16.25066,1,834.667,-522.95605,108.42356,Not in Vehicle,0.0
2990,-241.50621,-1383.7786,107.66967,1,0,0.0,3,0,628841,0x6BF561D1,1,9.990789,5,-232.48262,-1385.5923,104.61375,Not in Vehicle,0.0
1390,664.75476,-444.57498,110.41544,1,0,0.0,3,0,1075121,0x6BF561D1,1,6.23888,1,659.8028,-448.5534,107.99647,Not in Vehicle,0.0
2705,608.15094,384.58264,106.13143,0,0,0.0,3,0,1087636,0x9657CFFB,1,6.466253,2,614.3406,386.3896,105.64464,Not in Vehicle,0.0
2400,-1541.9104,-218.69145,160.23811,0,0,0.0,3,0,1075068,0x6BF561D1,1,5.591084,3,-1537.8047,-220.76997,157.00438,Not in Vehicle,0.0
7703,492.23364,1719.9513,126.56564,0,0,0.0,3,0,1068245,0x6BF561D1,1,12.875755,1,504.6508,1721.5217,123.54426,Not in Vehicle,0.0
4324,-1324.3511,531.01636,111.65638,0,0,0.0,4,0,1071248,0xC551E0D4,1,8.096334,1,-1324.2798,522.9259,111.35623,Not in Vehicle,0.0
6154,643.2855,-479.2528,111.202354,1,0,0.0,3,0,628841,0x6BF561D1,1,7.695892,1,636.2102,-481.79703,109.56205,Not in Vehicle,0.0
5424,890.6294,1585.1182,96.90575,0,0,0.0,3,0,628842,0x6BF561D1,1,8.318449,3,893.03894,1577.8064,96.499374,Not in Vehicle,0.0
1670,-875.7326,367.33417,113.11312,0,0,0.0,3,0,628841,0x6BF561D1,1,9.269193,1,-871.51105,375.05008,110.18722,Not in Vehicle,0.0
3538,-270.60373,426.156,128.00644,0,0,0.0,3,0,1087636,0x6BF561D1,1,10.467723,3,-261.36307,424.70227,125.01909,Not in Vehicle,0.0
4567,631.39655,-488.60236,113.01867,0,0,0.0,3,0,628841,0x6BF561D1,1,10.434157,1,634.31366,-479.56754,108.693115,Not in Vehicle,0.0
9446,-2141.498,-98.6979,115.0641,0,0,0.0,3,0,1071250,0x6BF561D1,1,9.229363,1,-2132.9294,-99.161995,111.69137,Not in Vehicle,0.0
3777,-880.6988,374.41965,119.78473,0,0,0.0,3,0,1068245,0x6BF561D1,1,14.385551,1,-870.0251,375.37363,110.18728,Not in Vehicle,0.0
2733,-1673.7529,-1146.9392,107.76744,0,0,0.0,3,0,1075121,0x4FE9FE79,1,5.051633,1,-1677.3406,-1147.3306,104.232666,Not in Vehicle,0.0
5816,630.2912,-488.6675,112.205124,0,0,0.0,3,0,628841,0xB2B12B51,1,6.135734,1,631.93976,-483.8527,108.78377,Not in Vehicle,0.0
8855,-515.5433,54.07199,138.64134,1,0,0.0,3,0,525027,0xFF798A5A,1,33.794014,1,-501.99628,84.33016,136.15265,Not in Vehicle,0.0
8564,-1901.1407,-1714.788,107.6476,1,0,0.0,4,0,628841,0xAAD6A3AD,1,7.555949,1,-1899.2092,-1721.6416,105.12038,Not in Vehicle,0.0
4290,-953.98676,-1444.1902,106.48237,0,0,0.0,3,0,1046713,0x6BF561D1,1,3.858777,5,-955.6277,-1442.2362,103.85212,Not in Vehicle,0.0
7232,-1455.6996,168.52638,11.482551,1,0,0.0,3,0,628842,0x8B6C0CD4,1,22.210423,3,-1458.5643,147.14227,6.369181,Not in Vehicle,0.0
4641,635.211,-491.7939,110.552284,0,0,0.0,3,0,628841,0x6BF561D1,1,8.629355,3,642.03613,-487.04926,108.74005,Not in Vehicle,0.0
3982,624.0098,1027.0,67.96764,0,0,0.0,3,0,1045603,0x4A22FC60,1,0.0,1,624.7064,1018.5422,67.65958,Not in Vehicle,0.0
2030,-1505.3846,-589.70197,20.500494,1,0,0.0,3,0,1066493,0xF487EE76,1,20.166885,1,-1500.8173,-570.5632,18.177286,Not in Vehicle,0.0
4656,632.7594,-488.2379,110.64771,1,0,0.0,3,0,628841,0xB2B12B51,1,4.156553,3,632.17303,-484.25616,108.96392,Not in Vehicle,0.0
5532,631.99365,-477.95267,110.86392,0,0,0.0,3,0,628841,0xB2B12B51,1,5.793097,1,637.11646,-478.1831,108.16856,Not in Vehicle,0.0
667,686.7173,-1451.6659,114.93476,0,0,0.0,3,0,1071248,0x6BF561D1,1,6.553173,4,686.5834,-1446.0035,112.942665,Not in Vehicle,0.0
3881,420.3099,195.79729,105.50937,0,0,0.0,5,0,1072123,0x12FA11A9,1,39.810665,1,425.16568,194.75847,107.03304,Not in Vehicle,0.0
6585,-1450.6183,206.5696,13.834763,0,0,0.0,3,0,1068245,0x8B6C0CD4,1,7.593609,3,-1452.9312,213.40353,11.070223,Not in Vehicle,0.0
2523,624.8577,-1422.885,113.80177,1,0,0.0,3,0,1066493,0x6BF561D1,1,7.986595,1,621.48206,-1416.1636,111.11582,Not in Vehicle,0.0
663,646.2547,-1456.9347,113.9764,0,0,0.0,3,0,628825,0x6BF561D1,1,9.302019,1,640.05676,-1450.5466,111.24312,Not in Vehicle,0.0
5557,629.81836,-494.12695,112.6654,1,0,0.0,3,0,628841,0x6BF561D1,1,9.530596,4,633.6918,-486.63644,109.566765,Not in Vehicle,0.0
2008,860.5142,188.18661,106.59454,0,0,0.0,3,0,525019,0x6BF561D1,1,7.174398,2,857.68616,182.50157,103.27976,Not in Vehicle,0.0
3845,708.97845,1418.2025,100.22137,1,0,0.0,3,0,1075121,0x6BF561D1,1,4.11548,1,705.7293,1417.4221,97.81903,Not in Vehicle,0.0
595,848.77625,-545.1531,109.41523,1,0,0.0,3,0,628824,0xFC6A70F8,1,25.885307,1,833.5452,-524.24677,108.42304,Not in Vehicle,0.0
4569,630.1443,-485.31378,109.76621,0,0,0.0,3,0,628841,0x6BF561D1,1,10.343156,3,634.26953,-477.22525,108.16856,Not in Vehicle,0.0
2759,-319.362,1406.5479,110.2257,0,0,0.0,3,0,628824,0x6BF561D1,1,15.085005,1,-327.8477,1418.6389,107.166824,Not in Vehicle,0.0
1057,653.6068,-477.8117,111.3499,0,0,0.0,3,0,1075121,0x2C307430,1,15.387938,5,647.27783,-493.6521,108.145226,Not in Vehicle,0.0
5685,-703.9559,704.9094,95.60275,0,0,0.0,3,0,628841,0x6BF561D1,1,9.335918,1,-697.32635,698.3367,95.69081,Not in Vehicle,0.0
5792,630.4365,-487.4906,110.8936,0,0,0.0,3,0,628841,0xB2B12B51,1,7.31968,1,628.7374,-494.06177,108.14098,Not in Vehicle,0.0
3760,-1894.1503,-1722.9569,113.68937,0,0,0.0,4,0,1046713,0xAAD6A3AD,1,22.914291,2,-1898.5017,-1745.1317,109.48176,Not in Vehicle,0.0
8138,697.4887,1463.5516,98.98963,1,0,0.0,3,0,1066492,0xA46327C1,1,10.063225,4,698.1241,1473.721,96.73475,Not in Vehicle,0.0
7477,901.16315,-1139.6184,112.06861,0,0,0.0,3,0,1046713,0x6BF561D1,1,7.385368,1,908.0041,-1141.0208,109.665085,Not in Vehicle,0.0
5310,-1485.1593,-559.98315,104.74552,0,0,0.0,3,0,1075114,0x6BF561D1,1,8.697493,17,-1484.854,-568.55536,101.696884,Not in Vehicle,0.0
8517,-1483.4154,-605.4698,16.752195,1,0,0.0,3,0,1066493,0xF487EE76,1,7.127987,3,-1490.5682,-607.3385,14.122797,Not in Vehicle,0.0
7190,-1400.1144,225.45781,12.288149,1,0,0.0,3,0,628842,0x8B6C0CD4,1,18.481739,1,-1388.1104,237.86905,6.248937,Not in Vehicle,0.0
8765,-227.21193,-1163.62,113.11911,0,0,0.0,3,0,1072123,0x6BF561D1,1,22.389538,2,-235.23755,-1184.3867,110.747604,Not in Vehicle,0.0
7714,638.9047,-476.21198,110.53114,1,0,0.0,3,0,628841,0x6BF561D1,1,9.500375,1,631.29346,-481.56168,108.6054,Not in Vehicle,0.0
39,833.49664,-948.09094,255.25645,0,0,0.0,3,0,1068245,0xB2B12B51,1,7.164766,1,829.70624,-942.9201,252.05789,Not in Vehicle,0.0
9208,-1876.5035,-1722.6394,111.205986,1,0,0.0,4,0,628841,0xAAD6A3AD,1,15.490476,3,-1888.2971,-1725.7817,101.02877,Not in Vehicle,0.0
3586,588.59,1018.352,57.767784,0,0,0.0,3,0,1075068,0xE1313617,1,12.636286,3,577.9803,1011.7299,56.062057,Not in Vehicle,0.0
6324,-1114.7242,523.7145,124.08817,0,0,0.0,3,0,1071250,0x6BF561D1,1,8.74056,2,-1111.6439,531.6002,121.9235,Not in Vehicle,0.0
1142,-1713.3945,-177.98877,103.251686,0,0,0.0,3,0,628841,0x6BF561D1,1,25.961676,1,-1727.738,-157.08182,97.6681,Not in Vehicle,0.0
3752,1030.4819,-1456.7987,114.50731,0,0,0.0,3,0,628841,0xA46327C1,1,8.26961,1,1029.4072,-1464.0126,111.94528,Not in Vehicle,0.0
7260,-1382.1392,230.4996,9.534615,0,0,0.0,3,0,628829,0x8B6C0CD4,1,22.554539,4,-1381.3276,255.26227,6.245042,Not in Vehicle,0.0
6804,638.77814,-480.09695,113.293884,0,0,0.0,3,0,628841,0x6BF561D1,1,7.608494,3,633.5487,-484.07446,109.56688,Not in Vehicle,0.0
4989,434.26352,109.24548,104.47649,1,0,0.0,3,0,628841,0x6BF561D1,1,6.651172,1,438.04626,114.42856,102.72587,Not in Vehicle,0.0
7208,-1430.6654,156.0473,10.041046,1,0,0.0,3,0,628842,0x8B6C0CD4,1,32.869007,3,-1462.6565,146.82286,6.248221,Not in Vehicle,0.0
2035,-1491.7771,-597.80884,19.312159,0,0,0.0,3,0,1066493,0x6BF561D1,1,29.345245,2,-1509.0204,-574.0915,18.131496,Not in Vehicle,0.0
8612,-1233.5121,286.55777,17.670633,1,0,0.0,3,0,1075114,0x6BF561D1,1,8.125291,1,-1232.8528,294.39868,15.495041,Not in Vehicle,0.0
1544,-296.65485,426.78937,121.9179,0,0,0.0,3,0,1066493,0x6BF561D1,1,13.269404,2,-305.08182,436.59518,118.959435,Not in Vehicle,0.0
5739,-285.03772,158.28717,122.50364,1,0,0.0,3,0,628841,0x6BF561D1,1,26.308676,4,-280.20557,183.83888,121.517204,Not in Vehicle,0.0
63,-266.49774,434.46292,126.48901,1,0,0.0,3,0,1075121,0x6BF561D1,1,10.078848,1,-259.38135,427.47308,125.04564,Not in Vehicle,0.0
1460,837.45905,-522.5784,111.34735,1,0,0.0,3,0,1047189,0xFC6A70F8,1,7.612746,1,830.96246,-520.01855,108.314964,Not in Vehicle,0.0
6237,-989.4925,228.25214,104.0443,0,0,0.0,3,0,1068245,0x8B6C0CD4,1,28.966839,4,-1016.7761,217.81757,98.57774,Not in Vehicle,0.0
7385,627.90796,-493.7668,109.707855,1,0,0.0,3,0,628841,0x6BF561D1,1,10.318921,3,632.81366,-484.7228,109.373886,Not in Vehicle,0.0
221,-266.64993,414.5138,122.36642,0,0,0.0,3,0,1087636,0x6BF561D1,1,6.772747,5,-264.64896,420.5139,126.21468,Not in Vehicle,0.0
576,-1860.0657,-1718.0662,101.74373,0,0,0.0,4,0,1071245,0xDFFE7978,1,22.213549,1,-1880.7463,-1709.9924,100.99494,Not in Vehicle,0.0
582,-0.484883,-23.60279,97.158134,0,0,0.0,3,0,628842,0x6BF561D1,1,6.736648,3,-4.03541,-16.449116,97.62029,Not in Vehicle,0.0
3893,-29.34608,1071.9117,100.65715,0,0,0.0,3,0,628841,0xB2B12B51,1,7.06715,2,-23.31535,1068.2595,100.17026,Not in Vehicle,0.0
210,-305.3151,438.7924,122.420334,0,0,0.0,3,0,1087636,0x6BF561D1,1,4.400941,2,-305.1419,436.06418,118.9714,Not in Vehicle,0.0
8449,-1550.4757,528.1166,107.53837,0,0,0.0,3,0,1149869,0x6BF561D1,1,12.684364,16,-1554.6245,535.32324,104.77759,Not in Vehicle,0.0
4936,-1547.2045,-230.48831,159.31233,1,0,0.0,3,0,1066495,0x6BF561D1,1,9.923727,3,-1550.809,-239.95445,156.69423,Not in Vehicle,0.0
4820,-708.3346,709.48334,85.69673,1,0,0.0,3,0,628841,0x6BF561D1,1,6.966857,1,-711.7115,704.51575,82.16732,Not in Vehicle,0.0
7391,647.51746,-492.65558,111.28259,1,0,0.0,3,0,628841,0x6BF561D1,1,10.998695,1,636.98193,-490.67325,108.835686,Not in Vehicle,0.0
8656,-301.10165,1405.8456,111.032196,0,0,0.0,3,0,1075121,0xA6FF4D06,1,22.439945,1,-312.66022,1422.5464,101.49103,Not in Vehicle,0.0
4711,644.02,-479.09192,111.48345,1,0,0.0,3,0,628841,0x6BF561D1,1,10.602066,1,634.186,-482.47034,109.41263,Not in Vehicle,0.0
3873,-277.56238,161.48502,124.030716,0,1,0.0,3,0,525027,0x6BF561D1,1,13.957138,2,-277.52536,176.34021,123.98454,Not in Vehicle,0.0
8693,-1500.4283,419.515,103.94606,1,0,0.0,3,0,1075114,0xA46327C1,1,30.747423,1,-1520.9602,440.86923,95.70965,Not in Vehicle,0.0
2028,-1510.4252,-578.2052,20.686687,0,0,0.0,3,0,1066493,0x6BF561D1,1,8.244143,3,-1508.6458,-570.1454,18.13988,Not in Vehicle,0.0
4466,639.56793,-476.01672,111.11919,0,0,0.0,3,0,628841,0xB2B12B51,1,4.864547,1,637.284,-479.1927,108.68893,Not in Vehicle,0.0
830,753.5055,1279.8861,99.681786,0,0,0.0,3,0,1068245,0x6BF561D1,1,7.250424,1,751.07184,1273.319,97.80726,Not in Vehicle,0.0
3787,-1493.2767,-452.72156,43.34645,0,0,0.0,5,0,659643,0x4A6FEA01,1,0.0,1,-1493.8296,-452.61667,43.353035,Not in Vehicle,0.0
968,610.7245,907.9972,126.89451,0,0,0.0,3,0,628824,0x6BF561D1,1,16.530973,2,599.4331,919.78314,124.273346,Not in Vehicle,0.0
5033,-2243.4163,-1344.1011,101.65096,0,0,0.0,3,0,1075114,0x6BF561D1,1,5.801516,3,-2238.0981,-1343.0577,98.863976,Not in Vehicle,0.0
5723,-281.6641,157.23752,121.580826,1,0,0.0,3,0,628841,0x6BF561D1,1,26.378155,1,-281.9932,183.45868,124.43554,Not in Vehicle,0.0
8851,542.4772,-166.1654,101.95298,1,0,0.0,3,0,1193876,0xFC6A70F8,1,7.904243,1,535.41223,-166.36089,98.41385,Not in Vehicle,0.0
495,-827.9068,1181.6799,107.76539,0,0,0.0,3,0,1046713,0x6BF561D1,1,4.628629,3,-831.587,1181.6467,104.56944,Not in Vehicle,0.0
4949,845.3917,-533.7668,111.42369,1,0,0.0,3,0,1066495,0xFC6A70F8,1,15.48528,2,833.73364,-524.02856,108.41549,Not in Vehicle,0.0
1845,671.9622,-1478.9515,117.32692,0,0,0.0,3,0,1075068,0x9657CFFB,1,4.23395,1,671.4503,-1482.8181,118.97332,Not in Vehicle,0.0
560,599.813,364.28888,116.3162,0,0,0.0,3,0,1068245,0x6BF561D1,1,8.254612,1,606.8916,362.9854,112.27449,Not in Vehicle,0.0
2338,-213.07106,69.71034,139.30058,0,0,0.0,3,0,525027,0xB2B12B51,1,16.105558,1,-211.68544,83.26694,138.24004,Not in Vehicle,0.0
2658,844.9261,-533.14044,111.21127,1,0,0.0,3,0,1071245,0xFC6A70F8,1,14.723308,2,833.42896,-524.3787,108.41498,Not in Vehicle,0.0
4996,637.0086,-477.3297,110.91699,1,0,0.0,3,0,1066495,0xB2B12B51,1,6.476585,3,632.79694,-482.36853,108.88758,Not in Vehicle,0.0
8817,-1044.8274,67.44984,22.66217,0,0,0.0,3,0,1046713,0x6BF561D1,1,12.058692,2,-1050.5209,57.878128,18.135715,Not in Vehicle,0.0
1634,-292.75668,172.87317,125.878426,1,0,0.0,3,0,1071245,0x6BF561D1,1,21.267656,3,-273.78284,181.47467,121.51465,Not in Vehicle,0.0
324,321.4741,-962.77203,114.615105,0,0,0.0,3,0,1087636,0x6BF561D1,1,9.782938,2,326.4429,-955.63403,110.12877,Not in Vehicle,0.0
4484,751.2238,1286.5316,99.00323,1,0,0.0,3,0,1071245,0xB2B12B51,1,7.773134,1,758.5081,1286.5743,96.27812,Not in Vehicle,0.0
9913,-1895.6708,-1725.2493,107.61836,0,0,0.0,4,0,1075121,0xDFFE7978,1,6.186744,2,-1898.4209,-1720.3135,105.09224,Not in Vehicle,0.0
2613,-270.60315,429.41147,128.80551,0,0,0.0,3,0,1087636,0x6BF561D1,1,11.312279,1,-264.8177,420.06152,126.14569,Not in Vehicle,0.0
2323,653.97064,-482.443,112.896454,0,0,0.0,3,0,1075121,0x6BF561D1,1,14.807715,4,639.30457,-480.7521,108.76146,Not in Vehicle,0.0
2557,697.6384,-1476.2051,117.122314,0,0,0.0,3,0,1075121,0xF487EE76,1,5.067098,16,698.3456,-1471.5425,118.97611,Not in Vehicle,0.0
4379,641.0104,-481.4517,111.17455,1,0,0.0,3,0,628841,0xB2B12B51,1,8.477396,3,639.5726,-474.96188,108.1121,Not in Vehicle,0.0
1757,835.2841,-526.7197,111.82102,0,0,0.0,3,0,628841,0xFC6A70F8,1,11.798337,4,826.70105,-521.0173,108.248856,Not in Vehicle,0.0
9823,-569.4528,-437.0438,110.96364,1,0,0.0,3,0,628842,0xFF798A5A,1,3.94791,1,-568.3528,-433.28976,110.437744,Not in Vehicle,0.0
8309,476.22232,1722.7188,121.283516,0,0,0.0,3,0,1066493,0x6BF561D1,1,24.641087,1,498.26074,1713.666,127.57142,Not in Vehicle,0.0
149,-1108.5641,537.6844,126.80292,0,0,0.0,3,0,1087636,0x6BF561D1,1,8.224997,4,-1114.0409,531.3102,125.94151,Not in Vehicle,0.0
7639,-978.50635,109.51959,102.49008,1,0,0.0,3,0,1075142,0x8B6C0CD4,1,23.496082,3,-1000.43195,101.19119,99.478,Not in Vehicle,0.0
3230,851.8338,-537.9772,112.23761,1,0,0.0,3,0,1068245,0xFC6A70F8,1,23.197989,2,833.4614,-524.34283,108.405014,Not in Vehicle,0.0
7664,-1525.7637,197.44092,7.627505,0,0,0.0,3,0,1046727,0x8B6C0CD4,1,18.052635,4,-1524.0531,177.81242,6.245042,Not in Vehicle,0.0
2134,613.2777,-1748.3995,112.258286,0,0,0.0,5,0,628841,0xC267B78A,1,7.910485,1,606.25183,-1751.0769,109.79973,Not in Vehicle,0.0
7292,701.4092,1410.1907,101.54139,1,0,0.0,3,0,1075121,0x6BF561D1,1,19.479652,1,699.9606,1429.2563,97.81869,Not in Vehicle,0.0
8634,-1235.8405,275.61557,16.791096,1,0,0.0,3,0,1046713,0x6BF561D1,1,17.124805,1,-1233.7914,292.56787,15.495042,Not in Vehicle,0.0
6431,-1049.8641,42.246044,18.549185,0,0,0.0,3,0,1066493,0x6BF561D1,1,8.737925,3,-1041.9047,38.393036,18.120007,Not in Vehicle,0.0
3467,-1534.3776,-219.12575,161.14397,0,0,0.0,3,0,1075121,0x6BF561D1,1,9.004768,4,-1527.2946,-224.18117,156.69286,Not in Vehicle,0.0
7019,-1450.1022,162.57523,9.272684,1,0,0.0,3,0,628842,0x8B6C0CD4,1,17.28602,4,-1451.9874,145.04721,6.261747,Not in Vehicle,0.0
4706,634.0415,-489.2667,111.59495,0,0,0.0,3,0,628841,0x6BF561D1,1,10.920096,1,634.54553,-478.53247,108.28316,Not in Vehicle,0.0
2587,838.65515,-531.9067,111.505264,1,0,0.0,3,0,1047189,0x6BF561D1,1,10.079056,2,834.33,-523.35297,108.416985,Not in Vehicle,0.0
1545,-283.08832,441.0605,119.106415,0,0,0.0,3,0,1066493,0x6BF561D1,1,22.371891,3,-305.1309,436.79456,118.97145,Not in Vehicle,0.0
5137,-1380.3177,294.9192,13.353156,0,0,0.0,3,0,1075104,0x8B6C0CD4,1,2.839409,1,-1381.5358,297.178,12.138077,Not in Vehicle,0.0
8122,-1508.2358,-609.19244,20.91811,0,0,0.0,5,0,1066492,0xF487EE76,1,15.082819,2,-1493.261,-609.20044,18.995022,Not in Vehicle,0.0
6200,-1640.8914,403.71732,105.46174,1,0,0.0,3,0,1066493,0x6BF561D1,1,6.005092,1,-1636.485,404.67087,101.49504,Not in Vehicle,0.0
6926,-1469.4875,297.0999,15.336581,0,0,0.0,3,0,1068245,0x8B6C0CD4,1,25.387762,5,-1497.5739,296.9421,13.404679,Not in Vehicle,0.0
2476,-285.0929,173.03221,127.06432,0,0,0.0,3,0,628841,0x6BF561D1,1,12.308507,1,-282.0339,184.66109,124.43541,Not in Vehicle,0.0
3106,-294.95703,1373.3893,103.35487,0,1,0.0,3,0,628841,0x6BF561D1,1,9.738316,1,-303.18173,1377.988,100.89656,Not in Vehicle,0.0
4165,-522.88464,-205.68642,103.68678,1,0,0.0,3,0,1047189,0x6BF561D1,1,13.526294,1,-523.6498,-192.28232,98.86788,Not in Vehicle,0.0
9718,-729.4583,941.046,105.46947,0,0,0.0,3,0,1087636,0xFC6A70F8,1,8.207427,1,-723.597,942.63135,99.94751,Not in Vehicle,0.0
47,831.80414,-934.2882,254.17891,0,0,0.0,3,0,628841,0x6BF561D1,1,9.308407,3,829.4453,-944.0261,252.05334,Not in Vehicle,0.0
1762,-730.49335,-742.63196,118.26467,1,0,0.0,5,0,525019,0xC267B78A,1,6.559635,1,-729.2664,-738.4504,118.06873,Not in Vehicle,0.0
2784,-1480.1879,420.03165,101.3483,0,0,0.0,3,0,1068245,0x6BF561D1,1,8.784161,3,-1474.9199,412.79633,100.09895,Not in Vehicle,0.0
2888,475.1695,-393.3961,120.33781,0,0,0.0,3,0,628841,0x6BF561D1,1,10.19398,1,485.15112,-393.15485,118.27721,Not in Vehicle,0.0
179,-1541.815,-228.8407,157.68149,0,0,0.0,3,0,1075121,0xB2B12B51,1,1.799042,1,-1540.5354,-229.90451,157.00688,Not in Vehicle,0.0
1496,-336.00812,1374.5028,104.34169,1,0,0.0,3,0,1066495,0x6BF561D1,1,9.058038,1,-341.13797,1381.2407,101.12691,Not in Vehicle,0.0
4272,202.42064,690.1187,99.15713,0,0,0.0,3,0,628841,0xFC6A70F8,1,7.258574,1,205.88701,695.8144,96.28825,Not in Vehicle,0.0
5648,-398.8113,208.29765,104.94498,0,0,0.0,3,0,1087636,0x6BF561D1,1,10.024768,10,-395.30417,217.40994,100.353874,Speed_Civ_Classic_01,0.0
1698,-1131.4717,538.1399,123.53189,1,0,0.0,3,0,1149869,0x6BF561D1,1,13.712644,3,-1112.0912,531.5396,126.15238,Not in Vehicle,0.0
2559,694.4846,-1486.0469,120.579636,0,0,0.0,3,0,1075121,0x6BF561D1,1,14.926856,2,706.94385,-1477.9788,119.00274,Not in Vehicle,0.0
6590,-1472.3702,214.1244,12.875852,0,0,0.0,3,0,1068245,0x8B6C0CD4,1,21.59634,1,-1451.5928,218.69267,11.185422,Not in Vehicle,0.0
2714,-1274.0043,681.0648,103.16059,1,0,0.0,5,0,1075066,0xC267B78A,1,5.782643,1,-1271.5953,685.27924,100.01828,Not in Vehicle,0.0
4580,642.81616,-481.98468,111.28416,1,0,0.0,3,0,628841,0x6BF561D1,1,6.177704,1,636.90265,-482.4786,109.566475,Not in Vehicle,0.0
2294,-1485.0282,-594.996,17.856516,1,0,0.0,3,0,1149869,0x2F7B991A,1,15.15377,16,-1520.7537,-622.7843,16.925983,Not in Vehicle,0.0
9251,639.1318,-485.4082,113.804344,0,0,0.0,3,0,628841,0x6BF561D1,1,10.01373,3,635.1603,-478.45776,108.46568,Not in Vehicle,0.0
6911,-1382.298,207.28131,8.290724,0,0,0.0,3,0,1068245,0x8B6C0CD4,1,20.98351,5,-1383.5914,229.41669,6.245041,Not in Vehicle,0.0
962,-1698.2667,303.04034,105.364105,0,0,0.0,3,0,1068245,0x6BF561D1,1,28.089996,5,-1725.2764,303.59985,100.26741,Not in Vehicle,0.0
6293,-1216.2921,254.35434,19.54983,0,0,0.0,3,0,1087636,0x6BF561D1,1,6.712783,1,-1216.283,260.3343,16.499979,Not in Vehicle,0.0
4315,821.9086,-522.9493,110.41516,0,0,0.0,3,0,628841,0x6BF561D1,1,11.198927,2,812.31104,-517.624,108.18114,Not in Vehicle,0.0
9790,851.77185,-542.03375,112.59259,1,0,0.0,3,0,628841,0xFC6A70F8,1,25.865604,2,834.04846,-523.6748,108.40537,Not in Vehicle,0.0
162,-1116.3478,529.6275,123.380066,0,0,0.0,3,0,1075121,0x6BF561D1,1,8.530608,3,-1117.8982,538.91125,121.81503,Not in Vehicle,0.0
5936,-311.29654,1419.5964,104.34462,0,0,0.0,3,0,628841,0x6BF561D1,1,7.246291,3,-311.47922,1425.8347,101.49103,Not in Vehicle,0.0
6263,-1137.7759,40.71056,109.685524,0,0,0.0,3,0,1068245,0x8B6C0CD4,1,18.9956,5,-1143.7814,19.330275,108.77187,Not in Vehicle,0.0
